Date,City_name,Views
2020-06-28,Addis Ababa,0
2020-06-29,Addis Ababa,0
2020-06-30,Addis Ababa,0
2020-07-01,Addis Ababa,0
2020-07-02,Addis Ababa,0
2020-07-03,Addis Ababa,0
2020-07-04,Addis Ababa,0
2020-07-05,Addis Ababa,0
2020-07-06,Addis Ababa,0
2020-07-07,Addis Ababa,0
2020-07-08,Addis Ababa,0
2020-07-09,Addis Ababa,0
2020-07-10,Addis Ababa,0
2020-07-11,Addis Ababa,0
2020-07-12,Addis Ababa,0
2020-07-13,Addis Ababa,0
2020-07-14,Addis Ababa,0
2020-07-15,Addis Ababa,0
2020-07-16,Addis Ababa,0
2020-07-17,Addis Ababa,0
2020-07-18,Addis Ababa,0
2020-07-19,Addis Ababa,0
2020-07-20,Addis Ababa,0
2020-07-21,Addis Ababa,0
2020-07-22,Addis Ababa,0
2020-07-23,Addis Ababa,0
2020-07-24,Addis Ababa,0
2020-07-25,Addis Ababa,0
2020-07-26,Addis Ababa,0
2020-07-27,Addis Ababa,0
2020-07-28,Addis Ababa,0
2020-07-29,Addis Ababa,0
2020-07-30,Addis Ababa,0
2020-07-31,Addis Ababa,0
2020-08-01,Addis Ababa,0
2020-08-02,Addis Ababa,0
2020-08-03,Addis Ababa,0
2020-08-04,Addis Ababa,0
2020-08-05,Addis Ababa,0
2020-08-06,Addis Ababa,0
2020-08-07,Addis Ababa,0
2020-08-08,Addis Ababa,0
2020-08-09,Addis Ababa,0
2020-08-10,Addis Ababa,0
2020-08-11,Addis Ababa,0
2020-08-12,Addis Ababa,0
2020-08-13,Addis Ababa,0
2020-08-14,Addis Ababa,0
2020-08-15,Addis Ababa,0
2020-08-16,Addis Ababa,0
2020-08-17,Addis Ababa,0
2020-08-18,Addis Ababa,0
2020-08-19,Addis Ababa,0
2020-08-20,Addis Ababa,0
2020-08-21,Addis Ababa,0
2020-08-22,Addis Ababa,0
2020-08-23,Addis Ababa,0
2020-08-24,Addis Ababa,0
2020-08-25,Addis Ababa,0
2020-08-26,Addis Ababa,0
2020-08-27,Addis Ababa,0
2020-08-28,Addis Ababa,0
2020-08-29,Addis Ababa,0
2020-08-30,Addis Ababa,0
2020-08-31,Addis Ababa,0
2020-09-01,Addis Ababa,0
